target,1rank,2rank,3rank,4rank,5rank
2708,163,1010,1321,2411,2493
2618,1219,741,1165,631,1973
1585,1585,2410,2286,2508,1775
1699,1699,529,1248,2568,964
349,349,1657,1472,602,576
350,2512,350,943,827,1162
1196,1355,1299,109,1196,403
1194,2727,2030,1259,1290,1194
2050,2050,1872,1520,33,2262
1193,1592,2548,619,1507,1193
2048,1701,2048,1308,1130,1050
1195,163,1010,1321,2411,2493
2049,164,78,63,1942,2049
574,163,1010,1321,2411,2493
575,294,575,2423,1934,84
576,576,127,1043,271,423
1208,1042,1208,1633,2274,188
1379,1379,2142,810,1799,414
1774,1774,1492,979,178,1297
1812,1812,2510,316,497,2721
1844,163,1010,1321,2411,2493
2547,2093,2547,829,2601,1118
1843,1843,467,1132,1430,2630
1842,1842,2033,1725,65,2495
1192,1192,1341,811,1502,2061
2188,2188,1746,575,294,25
547,547,1551,588,525,145
1767,1767,588,2259,24,2654
546,546,54,762,2197,768
1931,1931,1806,1547,634,1944
2429,2429,1843,1506,414,990
2682,2047,2682,2085,2140,2220
1953,1953,1537,259,1905,1191
2671,2671,1306,1130,1725,1842
770,1568,2122,1736,770,1001
2459,2459,192,151,734,1630
612,1997,612,1867,1160,1649
2160,2160,1615,1176,56,1569
2197,2197,585,2015,31,1452
2358,2358,1074,1435,828,1819
2389,2389,617,2663,2541,2646
664,664,1261,2411,2552,1500
710,710,2626,538,2667,1105
708,513,708,2503,669,419
1705,1705,635,2518,1081,1026
1944,1944,1931,2721,1996,213
1007,1007,2213,613,1806,307
107,107,1210,1561,1728,805
2215,2215,400,1089,1025,2070
1203,1203,1885,2722,514,979
628,628,877,176,1974,1151
1202,1202,1269,206,1063,2261
1204,1204,2368,382,2360,763
1176,2160,1615,1176,56,1569
826,826,2167,1263,2510,1812
1345,1345,1012,20,742,925
592,592,2705,2195,490,148
2292,2292,2349,1257,1186,1464
741,1219,741,1165,631,1973
1147,1147,197,597,2163,2344
2554,571,388,1230,1883,2554
123,123,706,537,401,580
360,360,2388,1279,428,2267
2360,382,2360,1204,148,292
1179,899,1179,2146,22,577
1188,1188,56,2112,1700,2306
2396,2396,1913,2331,1555,2161
750,750,789,1548,2362,2180
1230,571,388,1230,1883,2554
669,669,2018,1071,612,1208
